procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    284 265592 505928 3507804    0    0    28    77  376  186 20  6 73  1  0
 0  0    284 274952 505928 3489296    0    0     0    88  580 1268  5  2 94  0  0
 0  0    284 274952 505928 3489124    0    0     0     0  433  991  3  1 97  0  0
 0  0    284 290112 505928 3484952    0    0     0     0 2823 1200 11  2 87  0  0
 1  0    284 294452 505928 3480712    0    0     0     0  447  988  3  1 97  0  0
 0  0    284 293892 505936 3480640    0    0     0    32  488 1158  4  1 92  3  0
 2  0    284 293892 505936 3480812    0    0     0     0  402  928  3  0 97  0  0
 0  0    284 292992 505936 3480952    0    0     0     0 1545 2120  9  1 90  0  0
 0  0    284 292620 505936 3481256    0    0     0     0 3693 4332 15  3 81  0  0
 0  0    284 292580 505936 3481340    0    0     0     0 2601 3779 12  2 86  0  0
 1  0    284 292308 505936 3481476    0    0     0     0 3651 3904 14  3 83  0  0
 5  0    284 285220 505944 3499772    0    0     0  1224 3978 3692 20  3 76  1  0
 0  0    284 281400 505944 3504948    0    0     0     0 1475 2553 20  3 78  0  0
 2  1    284 216464 505964 3563864    0    0     0   232 1117 2966 14  3 62 20  0
 1  0    284 211400 505972 3569348    0    0     0    32 3898 4582 17  6 76  2  0
 0  0    284 241648 505972 3538464    0    0     0     0 2897 4095 14  4 83  0  0
 0  0    284 241408 505972 3538232    0    0     0     0 4833 4172  9  3 88  0  0
 0  0    284 241076 505972 3538232    0    0     0     0  845 2104  8  2 90  0  0
 0  0    284 240912 505972 3538232    0    0     0     0  728 1890  7  2 91  0  0
 0  0    284 236508 505980 3542456    0    0     0    32  848 2249  9  2 86  3  0
 0  0    284 245064 505980 3534172    0    0     0     0  771 1889  8  2 90  0  0
